year,level,subject,question,text,coleman_liau,flesch_kincaid,gunning_fog,total_tokens,positive_tokens,negative_tokens,neutral_tokens,compound_sentiment_score,intent,intent_certainty,named_entities,thematic_keywords
1924,Higher Grade,HISTORY,1. ,"Choose any two of the following topics and write a brief note about each of them :— The reasons for the successive Roman invasions of Britain and for the final withdrawal of the legions. Trade routes in Mediaeval Europe. The aims and objects of the Elizabethan sailors. Freedom of speech. The meaning of the phrase, “ a good citizen.” ",9.47,5.4,8.07,29,4,0,25,0.344075,reason,0.8232933282852173,,
1924,Higher Grade,HISTORY,1. b,Explain any one of the following terms :— The Lords of the Admiralty; A Joint-Stock Bank.; Entertainment Tax.; The British Overseas Dominions.; An Established Church.,12.02,6.4,8.2,15,2,0,13,0.35875,describe,0.46186116337776184,,
1924,Higher Grade,HISTORY,2,What are the sources of our knowledge of Scotland before the Norman Conquest ? In what respects are they imperfect ?,9.93,4.6,5.91,7,1,1,5,0.07925000000000001,compare,0.4216987192630768,,
1924,Higher Grade,HISTORY,3,"Select the three most important topics connected with the reign of any one of the following kings and give reasons for your choice of topics:—Henry II? Henry III., David I., Alexander III.",10.16,14.6,15.3,19,1,0,18,0.2023,describe,0.5448644161224365,,
1924,Higher Grade,HISTORY,4,How far is it possible to blame the Scots for the frequent occurrence of war with England between the death of Robert Bruce and the death of James IV. ?,9.43,9.9,12.98,14,0,4,10,-0.5345500000000001,describe,0.9184394478797913,,
1924,Higher Grade,HISTORY,5,Illustrate the influence and importance of the English Parliament in the fourteenth and fifteenth centuries.,11.75,12.7,19.33,8,1,0,7,0.3612,discuss,0.7089114785194397,,
1924,Higher Grade,HISTORY,6,"“ The aims of Queen Elizabeth resembled those of Henry VIII., but her methods were very different.” Discuss this statement.",10.6,3.4,2.52,10,0,0,10,0.0,describe,0.36093050241470337,,
1924,Higher Grade,HISTORY,7,"Explain the following terms as used in the seventeenth century—Cavalier, Roundhead, Leveller, Whig, Tory.",13.35,9.9,11.31,10,0,0,10,0.0,discuss,0.94947749376297,,
1924,Higher Grade,HISTORY,8,"What were the difficulties in the way of the Union of the Kingdoms of England and Scotland (1707), and how were they overcome ?",9.58,8.7,10.94,8,0,1,7,-0.34,describe,0.9495536684989929,,
1924,Higher Grade,HISTORY,9,"Explain the importance in English history of any three of the following :—Earl Godwin, Robert of Normandy, John of Gaunt, John Wycliffe, Sir Thomas More, Sir John Eliot, Titus Oates, Prince Charles Edward, Charles James Eox, Lord Palmerston, David Livingstone.",13.12,16.5,18.0,31,1,0,30,0.3612,reason,0.47921067476272583,,
1924,Higher Grade,HISTORY,10,Discuss one of the following topics :— The makers of the Empire in the eigh¬ teenth century.; The gradual removal of religious dis- abilities.; The conflict between Great Britain and Napoleonic France.; The agitation for Parliamentary Reform in the reigns of George IV. and William IV.,12.15,6.8,9.82,27,2,2,23,0.093725,reason,0.9879626631736755,,
1924,Higher Grade,HISTORY,11,"Either, describe improvements in the means of transport and communication in the nineteenth century; or, trace the development of political parties from the accession of Queen Victoria to the present day.",10.27,15.4,20.14,17,2,0,15,0.43035,discuss,0.9454431533813477,,
1924,Higher Grade,HISTORY,12,How far is it useful or important to learn about the wars waged by Great Britain between 1815 and 1902?,8.58,6.4,8.0,10,3,1,6,0.16705,describe,0.95722895860672,,
1924,Higher Grade,HISTORY,13,Give a brief account of any two of the following:— Greek life as depicted by Homer; the Tyrants; the Delphic Oracle; Cleisthenes; the battle of Salamis; the career of Pericles; the fall of Athens; the political views of Demosthenes.,11.64,16.1,18.68,22,0,1,21,-0.3818,reason,0.294119656085968,,
1924,Higher Grade,HISTORY,14,"“ I forgot the very letters of the Greek alphabet, a loss never to be repaired, considering what that language is and who they were who employed it in their composi¬ tions.”—(Sir Walter Scott.) Discuss the contribution which Greece made to Western civilization.",9.59,7.6,9.41,20,0,1,19,-0.3182,argue,0.43572553992271423,,
1924,Higher Grade,HISTORY,15,Give a brief account of any two of the following :— The office of Tribune of the People; the sack of Rome by the Gauls; the Samnite Wars; the exploits of Hannibal; the conquest of Gaul; the Augustan Age; the reign of Nero.,10.61,16.1,18.7,21,0,2,19,-0.35105000000000003,discuss,0.33308228850364685,,
1924,Higher Grade,HISTORY,16,"Discuss and illustrate either the statement that the legends about the early history of Rome exercised an influence upon Roman life and character, or the statement that the Romans laid the foundations of European civilization.",11.24,16.9,20.86,20,0,0,20,0.0,reason,0.8017146587371826,,
1924,Higher Grade,HISTORY,17,Estimate the importance of any two of the following in the history of their times :—The Emperor Justinian; Pope Gregory I.; St. Bernard; Frederick Barbarossa; Rienzi; Martin Luther; Catherine de Medici; Gustavus Adolphus; Prince Eugene of Savoy; Voltaire; George Washington; Robespierre; Metternich; Moltke; Garib aldi.,14.93,14.4,18.78,33,1,0,32,0.3612,describe,0.7503182888031006,,
1924,Higher Grade,HISTORY,18,Either—Illustrate the influence of the Papacy under Gregory VII. or Innocent III.; Or—Compare the services rendered to France by Louis XIV. with those rendered by Napoleon I.,11.58,4.8,8.65,15,1,0,14,0.34,discuss,0.995731770992279,,
1924,Higher Grade,HISTORY,19,Write a note on any two of the following :—the Normans in Italy; the career of Henry the Fowler; the Third Crusade; the Avignon Papacy; the decline of Venice; the Empire of Charles V.; the rise of Prussia; the War of Greek Independence; the events of 1848; the partition of Africa.,11.09,9.7,11.77,27,0,1,26,-0.5994,reason,0.9310429692268372,,
1924,Higher Grade,HISTORY,20,"Discuss one of the following topics; The Russian Monarchy, 1815-",12.03,8.4,8.0,7,0,0,7,0.0,reason,0.9902329444885254,,
1924,Higher Grade,HISTORY,1917,; The colonization of Australasia.; The career of Napoleon III.; The new states created by the Treaty of Versailles (1919). ',12.26,4.6,6.73,11,1,0,10,0.25,describe,0.7542803287506104,,
