year,level,subject,paper,question,text,coleman_liau,flesch_kincaid,gunning_fog,total_tokens,positive_tokens,negative_tokens,neutral_tokens,compound_sentiment_score,intent,intent_certainty,named_entities
1928,Lower Grade,ENGLISH,2,1,"Place the following events in the century appropriate to each: the battle of Neville’s Cross, the impeachment of Warren Hastings, the reign of Macbeth, the capture of Constantinople by the Turks, the death of the Maid of Norway, the execution of Lady Jane Grey, the charge of the Light Brigade at Balaclava, the accession of Alfred the Great, the birth of Robert Burns, the wreck of the White Ship, the death of Martin Luther, the battle of Omdurman, the Solemn League and Covenant, the murder of Becket, the Toleration Act, the career of Dunstan.",13.67,37.6,40.58,50,2,7,41,-0.2771444444444444,describe,0.7460768818855286,Neville’s Cross {1} Warren Hastings {1} Macbeth {1} Lady Jane Grey {1} the Light Brigade {1} Balaclava {1} Robert Burns {1} Martin Luther {1} the Solemn League and Covenant {1} Becket {1} Dunstan {1}
1928,Lower Grade,ENGLISH,2,2,"Distinguish between Queen Mary Tudor and Queen Mary of Orange, William Rufus and William the Lion, Thomas Cromwell (Earl of Essex) and Oliver Cromwell.",11.41,12.7,12.93,17,0,0,17,0.0,discuss,0.9287399649620056,Queen Mary Tudor {1} Queen Mary of Orange {1} William Rufus {1} William the Lion {1} Thomas Cromwell {1} Oliver Cromwell {1}
1928,Lower Grade,ENGLISH,2,3,"What part was played in Scottish history by any two of the following: Edward Balliol, the first Regent Albany, Bishop Kennedy, the Regent Morton, Alexander Leslie (Earl of Leven), Viscount Dundee, James Watt?",13.41,15.0,14.41,23,1,0,22,0.34,discuss,0.36870864033699036,Edward Balliol {1} Bishop Kennedy {1} the Regent Morton {1} Alexander Leslie {1} Viscount Dundee {1} James Watt {1}
1928,Lower Grade,ENGLISH,2,4,"For what reasons did James II suppress the Black Douglases, and why may their fall be regarded as a turning point in the history of the Scottish monarchy?",10.1,10.7,11.2,14,0,0,14,0.0,explain,0.9883139133453369,James II {1} the Black Douglases {1}
1928,Lower Grade,ENGLISH,2,5,Tell briefly the story of the Scottish Reformation during the reign of Mary (Queen of Scots).,10.35,6.0,8.9,9,0,0,9,0.0,reason,0.903976559638977,Mary (Queen of Scots {1}
1928,Lower Grade,ENGLISH,2,6,"Give a short account of any two of the following: the Scottish conquest of the Lothians, Scandinavian settlements in Scotland, the battle of Stirling Bridge, the Scottish Navy under James IV, the Bishops’ Wars, the battle of Worcester, the Convention of (1689), the escape of Prince Charles Edward.",11.28,19.6,21.7,28,1,3,24,-0.296275,discuss,0.637366533279419,Scotland {1} the Scottish Navy {1} James IV {1} Worcester {1} the Convention of ( {1} Prince Charles Edward {1}
1928,Lower Grade,ENGLISH,2,7,"In what novels or poems does Sir Walter Scott describe the condition of Scotland under Robert III, the court of James IV, the Civil War in Scotland in Charles I’s reign, the Covenanters in the time of Charles II? Write a short note upon any one of these topics as treated by Scott.",10.31,8.9,12.11,30,1,1,28,-0.14060000000000003,discuss,0.41034361720085144,Walter Scott {1} Scotland {2} Robert III {1} James IV {1} the Civil War {1} Charles I’s {1} Covenanters {1} Charles II {1} Scott {1}
1928,Lower Grade,ENGLISH,2,8,"Tell what you know of the history of any Scottish burgh, cathedral, or abbey.",8.84,5.2,5.6,7,0,0,7,0.0,reason,0.8966194987297058,
1928,Lower Grade,ENGLISH,2,9,"Give some account of any two of the following: Ezra, Demosthenes, Mark Antony, St. Augustine of Canterbury, Pope Innocent III, John Calvin, Henry IV of France, Charles XII of Sweden, the Empress Maria Theresa, Metternich, Marshal Foch.",14.37,8.1,11.72,28,1,0,27,0.34,discuss,0.43896016478538513,"Ezra {1} Mark Antony {1} St. Augustine {1} Canterbury {1} Innocent III {1} John Calvin {1} Henry IV {1} France {1} Charles XII {1} Sweden {1} the Empress Maria Theresa {1} Metternich, Marshal Foch {1}"
1928,Lower Grade,ENGLISH,2,10,Choose any King of England between (1016) and (1307) and tell briefly what was good and what was bad in his policy and in its results.,8.57,7.5,10.4,11,1,1,9,-0.050949999999999995,reason,0.915253758430481,
