year,level,subject,paper,question,text,coleman_liau,flesch_kincaid,gunning_fog,total_tokens,positive_tokens,negative_tokens,neutral_tokens,compound_sentiment_score,intent,intent_certainty,named_entities
1931,HIGHER GRADE,HISTORY,1,,"Explain the historical significance of five: Alfred the Great, Malcolm Canmore’s marriage, rebellion against John, Elizabeth’s succession, Edict of Nantes revocation, Quebec’s capture, Australian gold discovery, Marne battle.",14.61,17.8,21.2,23,3,2,18,0.11812,reason,0.8032619953155518,"('five', 'NUMBER', 1)('Alfred the Great', 'PERSON', 1)('Malcolm Canmore', 'PERSON', 1)('John', 'PERSON', 1)('Elizabeth', 'PERSON', 1)('Nantes', 'ORGANIZATION', 1)('Quebec', 'STATE_OR_PROVINCE', 1)('Australian', 'NATIONALITY', 1)('Marne', 'PERSON', 1)"
1931,HIGHER GRADE,HISTORY,1,,Analyze the Roman Empire’s fall on British history.,11.93,6.4,3.2,6,0,0,6,0.0,reason,0.9958142638206482,"('Roman', 'MISC', 1)('Empire', 'MISC', 1)('fall', 'DATE', 1)('British', 'NATIONALITY', 1)"
1931,HIGHER GRADE,HISTORY,1,,Account for Ethelred the Unready’s and Harold Godwineson’s failures.,12.86,8.0,3.6,6,0,1,5,-0.5106,describe,0.6975511908531189,"('Harold Godwineson', 'PERSON', 1)"
1931,HIGHER GRADE,HISTORY,1,,"Explain David I as ""maker of historical Scotland.""",11.93,8.8,8.2,5,0,0,5,0.0,reason,0.6550483703613281,"('David I', 'PERSON', 1)('Scotland', 'COUNTRY', 1)"
1931,HIGHER GRADE,HISTORY,1,,Discuss Edward I’s motives and success in conquering Scotland.,16.36,8.0,8.04,6,1,0,5,0.5719,reason,0.9945037364959716,"('Edward I', 'PERSON', 1)('Scotland', 'COUNTRY', 1)"
1931,HIGHER GRADE,HISTORY,1,,"Analyze the failure of Henry IV, Richard II, or James III.",15.67,2.9,4.4,8,0,1,7,-0.5106,reason,0.9954798221588136,"('Henry IV', 'PERSON', 1)('Richard II', 'PERSON', 1)('James III', 'PERSON', 1)"
1931,HIGHER GRADE,HISTORY,1,,Link trade/commerce to the Crusades or Hundred Years’ War.,11.1,4.4,3.6,6,0,1,5,-0.5994,discuss,0.8919224143028259,"('Hundred', 'DURATION', 1)('Years', 'DURATION', 1)('War', 'CAUSE_OF_DEATH', 1)"
1931,HIGHER GRADE,HISTORY,1,,"Evaluate Henry VII, James IV, or Charles V as rulers.",16.76,2.5,8.0,8,0,0,8,0.0,reason,0.6716028451919556,"('Henry VII', 'PERSON', 1)('James IV', 'PERSON', 1)('Charles V', 'PERSON', 1)"
1931,HIGHER GRADE,HISTORY,1,,Describe monastery dissolution in England/Scotland and social effects.,15.88,15.9,13.2,6,0,0,6,0.0,reason,0.4585653841495514,"('England', 'COUNTRY', 1)('Scotland', 'COUNTRY', 1)"
1931,HIGHER GRADE,HISTORY,1,,"Compare Elizabeth’s popularity with James VI/I and Charles I’s unpopularity, or link religion to Thirty Years’ War, American Colonies, Civil War, or 1688 Revolution.",14.04,12.7,16.27,18,1,2,15,-0.2407,discuss,0.9969838261604308,"('Elizabeth', 'PERSON', 1)('James VI', 'PERSON', 1)('Charles I', 'PERSON', 1)('Thirty', 'DURATION', 1)('Years', 'DURATION', 1)('War', 'CAUSE_OF_DEATH', 2)('American', 'ORGANIZATION', 1)('Colonies', 'ORGANIZATION', 1)('1688', 'DATE', 1)"
1931,HIGHER GRADE,HISTORY,1,,Assess William III’s European statesmanship.,19.67,10.0,18.0,5,0,0,5,0.0,describe,0.7510457634925842,"('William III', 'PERSON', 1)('European', 'NATIONALITY', 1)"
1931,HIGHER GRADE,HISTORY,1,,"Discuss Jacobitism, Walpole opposition, or Methodist Revival.",17.52,19.0,25.66,6,0,0,6,0.0,reason,0.9929498434066772,"('Walpole', 'CITY', 1)('Methodist', 'RELIGION', 1)"
1931,HIGHER GRADE,HISTORY,1,,"Trace movements led by Newman, O’Connell, Chalmers, Peel, or Chamberlain.",12.03,6.0,8.0,8,0,0,8,0.0,describe,0.2905132472515106,"('Newman', 'PERSON', 1)('Chalmers', 'PERSON', 1)('Chamberlain', 'PERSON', 1)"
1931,HIGHER GRADE,HISTORY,1,,Trace British Dominion in Canada/South Africa.,14.46,4.5,2.4,5,0,0,5,0.0,describe,0.548399031162262,"('British', 'NATIONALITY', 1)('Dominion', 'ORGANIZATION', 1)('Canada', 'COUNTRY', 1)('South', 'COUNTRY', 1)('Africa', 'COUNTRY', 1)"
1931,HIGHER GRADE,HISTORY,1,,Describe an explorer/inventor’s career.,15.68,15.5,11.6,3,0,0,3,0.0,reason,0.7309675216674805,"('explorer', 'TITLE', 1)('inventor', 'TITLE', 1)"
1931,HIGHER GRADE,HISTORY,1,,Outline Irish Home Rule controversy.,10.2,7.6,10.0,5,0,0,5,0.0,argue,0.5970155596733093,"('Irish', 'NATIONALITY', 1)"
1931,HIGHER GRADE,HISTORY,1,,Trace Franco-German relations (1870–1914).,23.57,13.1,11.6,4,0,0,4,0.0,describe,0.4394749402999878,"('1870', 'DATE', 1)('1914', 'DATE', 1)"
1931,HIGHER GRADE,HISTORY,1,,Analyze the League of Nations’ post-WWI development.,15.26,7.2,8.51,5,0,0,5,0.0,reason,0.995354175567627,"('Analyze', 'MISC', 1)('the', 'MISC', 1)('League', 'MISC', 1)('of', 'MISC', 1)('Nations', 'MISC', 1)"
1931,HIGHER GRADE,HISTORY,1,,Discuss Indian representative government challenges.,13.36,21.8,10.0,5,1,0,4,0.0772,reason,0.994269847869873,"('Indian', 'NATIONALITY', 1)('representative', 'TITLE', 1)"
