year,level,subject,paper,question,text,coleman_liau,flesch_kincaid,gunning_fog,total_tokens,positive_tokens,negative_tokens,neutral_tokens,compound_sentiment_score,intent,intent_certainty,named_entities
1956,Higher Grade,GEOGRAPHY,1,1,After studying the part of the one-inch map of the British Isles which is provided :— ,8.59,4.4,6.0,7,0,0,7,0.0,describe,0.7430145740509033,the British Isles {1}
1956,Higher Grade,GEOGRAPHY,1,1a,Contrast,1.0,8.4,0.4,1,0,0,1,0.0,discuss,0.9149672389030457,the British Isles {1}
1956,Higher Grade,GEOGRAPHY,1,1i,n about 20 lines) the relief and drainage of the northern and southern parts of the area.,6.67,5.2,6.8,9,1,0,8,0.4767,describe,0.8813151717185974,the British Isles {1}
1956,Higher Grade,GEOGRAPHY,1,1b,Discuss the influence of relief and drainage upon the communications of the areas,12.63,9.5,11.35,7,1,0,6,0.4767,reason,0.9898369908332825,the British Isles {1}
1956,Higher Grade,GEOGRAPHY,1,1c,Comment on the distribution of woodland throughout the area.,13.83,8.0,8.04,5,0,0,5,0.0,reason,0.915843665599823,the British Isles {1}
1956,Higher Grade,GEOGRAPHY,1,1d,What advantages has Scarborough as a holiday resort?,12.25,10.0,13.2,4,2,0,2,0.32594999999999996,explain,0.5984809398651123,the British Isles {1}
1956,Higher Grade,GEOGRAPHY,1,2,Answer the following questions on the accompanying map of part of the Americas ,7.93,9.5,8.28,7,0,0,7,0.0,reason,0.49829578399658203,
1956,Higher Grade,GEOGRAPHY,1,2a,For the two places marked with a X on the map state :—• the months of maximum rainfall; and the altitude of the noonday sun on June 21st.,5.58,7.9,12.28,14,0,0,14,0.0,discuss,0.8910044431686401,
1956,Higher Grade,GEOGRAPHY,1,2b,"A cross-section has been drawn across the mainland along latitude 19° N. Draw similar cross-sections along latitudes 40° N. and 20° S.; and On each of the three cross-sections print D to mark a densely peopled area, L to mark an area of light rainfall, and F to mark an area of forest, stating the type.",6.37,4.0,7.74,34,0,0,34,0.0,discuss,0.8869262337684631,
1956,Higher Grade,GEOGRAPHY,1,2c,"Mark and name Sudbury, Thetford, and Birmingham (Ala.) and beside each print the mineral for which it is known.",7.51,4.6,8.01,10,0,0,10,0.0,discuss,0.7162656784057617,
1956,Higher Grade,GEOGRAPHY,1,2d,Print the following over appropriate areas,14.95,8.0,9.07,4,0,0,4,0.0,discuss,0.5259784460067749,
1956,Higher Grade,GEOGRAPHY,1,2o,ne for each) :— tierra fria ; redwoods ; coffee ; winter wheat.,9.31,2.1,3.6,7,0,0,7,0.0,discuss,0.37490230798721313,
1956,Higher Grade,GEOGRAPHY,1,3,"Give a brief account of the sea as an agent of erosion, transportation, and deposition. Draw your examples from the British Isles.",9.92,5.2,8.04,12,0,0,12,0.0,discuss,0.568842351436615,the British Isles {1}
1956,Higher Grade,GEOGRAPHY,1,4. ,"Draw a circle to represent the world aird on it show the wind system of the world at the equinox, identifying significant lines of latitude. ",9.93,10.7,16.4,14,1,0,13,0.2023,discuss,0.3313833773136139,
1956,Higher Grade,GEOGRAPHY,1,4. b,"State where, and explain why, monsoon effects upset the pattern of winds shown on your diagram",10.32,7.2,6.4,9,0,1,8,-0.3818,discuss,0.46337980031967163,
1956,Higher Grade,GEOGRAPHY,1,5,Select a fairly large area of tropical grassland and a fairly large area of temperate grassland and account for the difference in their vegetation and development.,9.18,13.4,16.55,15,0,0,15,0.0,reason,0.36614832282066345,
1956,Higher Grade,GEOGRAPHY,1,6,What geographical factors aid the development of manufacturing ? Illustrate your answer by referring to specific towns and regions.,11.98,11.5,16.93,11,0,0,11,0.0,discuss,0.7790146470069885,
1956,Higher Grade,GEOGRAPHY,1,7,"Select a small area which you know well and show how far relief, climate, and resources have decided the major activities of the area. ",8.77,9.1,11.27,14,2,0,12,0.37495,reason,0.8223643898963928,
1956,Higher Grade,GEOGRAPHY,1,7b,Write a concise account of any geographical field-work in which you have participated. Illustrate your answer with sketch- maps or diagrams or both.,12.28,7.8,9.82,11,0,0,11,0.0,reason,0.9449031352996826,
1956,Higher Grade,GEOGRAPHY,1,8,What are the most significant changes of population in Scotland between 1931 and 1951 which emerge from a study of these maps ? ,10.47,8.3,12.44,9,1,0,8,0.2023,discuss,0.5756563544273376,Scotland {1}
1956,Higher Grade,GEOGRAPHY,1,8b,Discuss the relative merits of the figures of map A and of map B as methods of showing population changes.,7.66,11.1,12.0,11,1,0,10,0.4215,reason,0.9945380091667175,Scotland {1}
1956,Higher Grade,GEOGRAPHY,1,9,Read through the above passage and then answer the following questions Using your knowledge of geography expand the three parts of the passage which have been underlined. ,9.07,11.5,12.28,13,1,0,12,0.3182,reason,0.36310404539108276,
1956,Higher Grade,GEOGRAPHY,1,9b,How does south-east Asia fit into Febvre's broad outline of the world distribution of population ?,13.04,10.3,14.0,9,1,0,8,0.3612,describe,0.9924321174621582,
