year,level,subject,paper,question,text,coleman_liau,flesch_kincaid,gunning_fog,total_tokens,positive_tokens,negative_tokens,neutral_tokens,compound_sentiment_score,intent,intent_certainty,named_entities
1956,Lower Grade,MUSIC,1,1,"Write in staff notation a melody suitable for singing to one of the following stanzas. Place each syllable of the words below the note or notes to which it is to be sung. Add a musical term to indicate tempo or mood, and insert expression marks where necessary. Words or phrases may be repeated. “ Love on my heart from heaven fell, Soft as the dew on flow’rs of spring, Sweet as the hidden drops that swell Their honey-throated chalking.” Bridges. OR “ Good people all, of every sort, ! Give ear unto my song ; And if you find it wond’rous short, It cannot hold you long.” Goldsmith.",8.44,4.4,7.52,58,4,1,53,0.3547,describe,0.601754367351532,Soft {1} Sweet {1} Bridges {1} Goldsmith {1}
1956,Lower Grade,MUSIC,1,2,"Continue one of the following to make a tune of eight bars in length, igon the tonic, is to be continued in the style of a saraband, is to be mutinied in the style of a bourree. Add phrasing and expression marks, and, if necessary, signs to indicate legato and staccato.",10.16,10.9,14.12,25,0,0,25,0.0,describe,0.5743843913078308,
1956,Lower Grade,MUSIC,1,3,Complete the re-writing of the following horn parts on four staves at the pitch they sound; i.e. transpose down a minor sixth ,9.21,4.0,4.4,13,0,0,13,0.0,describe,0.38494783639907837,
1956,Lower Grade,MUSIC,1,3w,"ithout kev- signature) the parts for the first, third, and fourth horns. Use the clefs and the staves provided, and omit the slurs.",7.23,1.9,6.34,14,0,0,14,0.0,describe,0.46252474188804626,
1956,Lower Grade,MUSIC,1,4,"Is the above extract likely to be from a work composed before 1750, or one composed after 1850 ? ",8.04,5.6,7.2,8,0,0,8,0.0,other,0.9921724796295166,
1956,Lower Grade,MUSIC,1,4b,"Give, very briefly, the reason for your answer",7.21,2.9,3.2,4,0,0,4,0.0,describe,0.505029022693634,
1956,Lower Grade,MUSIC,1,4c,What is the purpose of the slurs in the above extract,4.21,2.9,4.4,3,0,0,3,0.0,compare,0.5282540917396545,
1956,Lower Grade,MUSIC,1,4d,"If the above passage were written for strings, what would be the purpose lithe slurs ?",8.81,4.4,6.0,7,0,0,7,0.0,explain,0.7071531414985657,
1956,Lower Grade,MUSIC,1,5,Name a transposing instrument in the wood-wind section of the siesta ,9.92,7.6,11.67,6,0,0,6,0.0,describe,0.4322187602519989,
1956,Lower Grade,MUSIC,1,5b,"Name a transposing instrument, other than the horn, in the brass sction of the orchestra",9.97,8.0,14.0,7,0,0,7,0.0,discuss,0.5552757978439331,
1956,Lower Grade,MUSIC,1,6. ,Name two folk-songs ; state the country of origin of each. ,8.87,3.7,4.0,6,0,0,6,0.0,discuss,0.46073809266090393,
1956,Lower Grade,MUSIC,1,6. b,Name two eighteenth century arias which are written in ternary form; state the composer of each.,11.08,6.0,6.4,10,0,0,10,0.0,discuss,0.5478953719139099,
1956,Lower Grade,MUSIC,1,6. c,"Name two songs, not folk-songs or arias, one written between 1800 and 1850, and the other written after",8.87,5.6,7.2,10,0,0,10,0.0,discuss,0.8187341690063477,
1956,Lower Grade,MUSIC,1,1850,Name the composer of each. ,7.04,0.5,2.0,2,0,0,2,0.0,discuss,0.26900434494018555,
1956,Lower Grade,MUSIC,1,1850d,Quote in staff notation at least four bars of any one of the six songs you have named.,4.35,4.4,7.2,10,0,0,10,0.0,discuss,0.8153166770935059,
1956,Lower Grade,MUSIC,1,7. ,"For each of the following, name a composer associated with it leit motif; fugue; nocturne; concerto; oratorio; symphonic poem. ",12.06,11.9,13.92,12,0,0,12,0.0,discuss,0.7707201838493347,
1956,Lower Grade,MUSIC,1,7. b,"Choose four of the composers you have named, and state the period of musical history to which each belongs.",9.28,7.2,9.71,9,0,0,9,0.0,reason,0.3136499226093292,
1956,Lower Grade,MUSIC,1,7. c,Quote in staff notation at least four bars from a relevant work by any one of the composers you have named.,6.5,6.8,10.3,11,0,0,11,0.0,discuss,0.8255548477172852,
1956,Lower Grade,MUSIC,1,6. ,Tabulate the recapitulation section of first-movement form. ,13.01,14.3,14.23,5,0,0,5,0.0,discuss,0.5384954810142517,
1956,Lower Grade,MUSIC,1,6. b,Name two other forms which are frequently used in a sonata.,6.82,4.0,4.4,6,0,0,6,0.0,discuss,0.9403806328773499,
1956,Lower Grade,MUSIC,1,6. c,Name two composers who are associated with the evolution of form.,10.01,6.4,11.67,6,0,0,6,0.0,discuss,0.7805138230323792,
1956,Lower Grade,MUSIC,1,6. d,Quote in staff notation at least four bars of any sonata or sonatina which you have heard or played.,7.43,6.0,9.71,10,1,0,9,0.34,discuss,0.8308240175247192,
1956,Lower Grade,MUSIC,1,6. e,List the wood-wind instruments used in the Prelude to Act III of ‘Die Meistersinger von Niirnberg,11.42,7.2,11.4,11,0,1,10,-0.5994,argue,0.5355471968650818,
1956,Lower Grade,MUSIC,1,6. f,"What is the form of the Allegro section in the overture “ Leonore, No. 3 ” I, Beethoven?",3.9,2.9,3.2,7,0,0,7,0.0,explain,0.48910588026046753,
1956,Lower Grade,MUSIC,1,6. g,For what solo voices did Bach write the parts of the Evangelist in his “ St. Matthew Passion ” ?,7.31,5.2,9.15,9,1,0,8,0.4588,describe,0.8224603533744812,
1956,Lower Grade,MUSIC,1,6. h,Quote in staff notation at least four bars of the first movement of Mozart’s piano concerto in A major.,8.07,7.2,7.6,12,0,0,12,0.0,discuss,0.8911726474761963,
