year,level,subject,paper,question,text,coleman_liau,flesch_kincaid,gunning_fog,total_tokens,positive_tokens,negative_tokens,neutral_tokens,compound_sentiment_score,intent,intent_certainty,named_entities
1959,Higher Grade,ENGLISH,2,,"Read the passage printed above, and then answer, as far as possible in your own words, the following questions on it: a. Explain briefly but clearly the meaning of the following phrases as they are used in the passage: general stock of facts and sentiments ",8.26,9.7,9.89,21,1,0,20,0.4019,describe,0.5364131331443787,"('general', 'TITLE', 1)"
1959,Higher Grade,ENGLISH,2,,ine 13); means of communication,7.28,7.6,10.0,4,0,0,4,0.0,describe,0.5425224900245667,"('13', 'NUMBER', 1)"
1959,Higher Grade,ENGLISH,2,,ines 13-14); ascendancy of public opinion,11.07,6.8,9.07,5,0,0,5,0.0,describe,0.8142446279525757,"('13', 'NUMBER', 1)('-', 'NUMBER', 1)('14', 'NUMBER', 1)"
1959,Higher Grade,ENGLISH,2,,ine 22); social eminences,5.8,7.2,11.6,4,0,0,4,0.0,describe,0.7418940663337708,"('22', 'NUMBER', 1)"
1959,Higher Grade,ENGLISH,2,,ine 23). b. Give the meaning of the following words as they are used in the passage: assimilated,6.61,8.0,9.42,10,0,0,10,0.0,describe,0.42670339345932,"('23', 'NUMBER', 1)"
1959,Higher Grade,ENGLISH,2,,ine 2); asserting,-0.46,5.6,14.53,3,0,0,3,0.0,other,0.6586067080497742,"('2', 'NUMBER', 1)"
1959,Higher Grade,ENGLISH,2,,ine 8); diffusing,-0.46,5.6,14.53,3,0,0,3,0.0,describe,0.6794680953025818,"('8', 'NUMBER', 1)"
1959,Higher Grade,ENGLISH,2,,ine 17); agency,-4.29,-2.7,1.2,3,0,0,3,0.0,describe,0.6054161190986633,"('17', 'NUMBER', 1)"
1959,Higher Grade,ENGLISH,2,,ine 20); entrenched,3.43,0.9,1.2,3,0,0,3,0.0,describe,0.6929842233657837,"('20', 'NUMBER', 1)"
1959,Higher Grade,ENGLISH,2,,ine 23); non-conformity,9.23,9.2,14.53,3,0,0,3,0.0,describe,0.5027732849121094,"('23', 'NUMBER', 1)"
1959,Higher Grade,ENGLISH,2,,"ine 27). c. Give a general analysis of the sentence beginning, “Great as are the differences...”",8.52,9.5,11.4,10,2,0,8,0.35105,describe,0.7243749499320984,"('27', 'NUMBER', 1)('general', 'TITLE', 1)"
1959,Higher Grade,ENGLISH,2,,"ines 8-9). d. What sentence do you regard as the key or topic sentence of the paragraph? Justify your choice. e. Comment briefly on the importance of the sentence, “And the assimilation is still proceeding.”",8.39,6.7,9.25,18,4,0,14,0.1482,describe,0.6742300391197205,"('8', 'NUMBER', 1)('-', 'NUMBER', 1)('9', 'NUMBER', 1)"
1959,Higher Grade,ENGLISH,2,,"ine 9), in the development of the argument. f. Explain clearly the difference between a “trade” and a “profession”",7.8,5.8,10.12,10,1,1,8,0.0203499999999999,describe,0.7179239392280579,"('9', 'NUMBER', 1)"
1959,Higher Grade,ENGLISH,2,,"ine 3). g. Express in your own words the meaning of the last few lines of the passage, from “there ceases to be”",4.19,6.4,9.2,10,0,0,10,0.0,describe,0.5945679545402527,"('3', 'NUMBER', 1)"
1959,Higher Grade,ENGLISH,2,,ines 26-27) to the end. h. Suggest a suitable title for the passage. i. Make a summary of the whole passage. (Your summary should not exceed 120 words.),3.89,2.5,2.8,16,0,0,16,0.0,describe,0.4679889380931854,"('26', 'NUMBER', 1)('-', 'NUMBER', 1)('27', 'NUMBER', 1)('120', 'NUMBER', 1)"
1959,Higher Grade,ENGLISH,2,,Combine the following statements into a well-knit paragraph: The King of the Goths no longer dissembled his appetite for plunder and revenge—he appeared in arms under the walls of the capital—the trembling senate had no hope of relief—they prepared a desperate resistance—they wished to delay the ruin of their country—they were unable to guard against the secret conspiracy of slaves and domestics—these were attached to the cause of the enemy—at midnight the Salarian gate was silently opened—the inhabitants were awakened by the tremendous sound of the Gothic trumpet—the Imperial City was delivered to the licentious fury of the tribes of Germany and Scythia.,15.03,42.3,44.31,55,2,6,47,-0.2519249999999999,discuss,0.3979321420192718,"('King', 'TITLE', 1)('conspiracy', 'CRIMINAL_CHARGE', 1)('midnight', 'TIME', 1)('Salarian', 'MISC', 1)('Imperial', 'CITY', 1)('City', 'LOCATION', 1)('Germany', 'COUNTRY', 1)"
1959,Higher Grade,ENGLISH,2,,"a. Explain the meaning and bring out the force of the prefix in any five of the following words: hyperbole, antithesis, hypodermic, sympathy, diameter, geophysical, telegram, microscope. b. Choose any five of the following, and give an example of each: cliche, euphemism, archaism, metonymy, epigram, alliteration, climax.",11.86,14.8,17.06,29,1,0,28,0.3612,reason,0.4017529785633087,"('five', 'NUMBER', 2)"
