year,level,subject,paper,question,text,coleman_liau,flesch_kincaid,gunning_fog,total_tokens,positive_tokens,negative_tokens,neutral_tokens,compound_sentiment_score,intent,intent_certainty,named_entities
1960,LOWER GRADE,GEOGRAPHY,1,,On the accompanying map of part of the British Isles: ,8.87,6.0,8.0,5,0,0,5,0.0,discuss,0.7852184176445007,"('British', 'NATIONALITY', 1)('Isles', 'LOCATION', 1)"
1960,LOWER GRADE,GEOGRAPHY,1,,"Name the three towns lettered A, B, and C, and the three rivers marked with a cross, and insert the district names of the areas lettered D and E.",5.7,8.7,11.6,16,0,0,16,0.0,discuss,0.619343101978302,"('three', 'NUMBER', 2)"
1960,LOWER GRADE,GEOGRAPHY,1,,"Mark with a cross and name the Peak District, the York Moors, the Lammermuirs, and the County of Durham.",7.78,6.0,9.71,10,0,0,10,0.0,discuss,0.6333342790603638,"('Mark', 'PERSON', 1)('Peak', 'LOCATION', 1)('District', 'LOCATION', 1)('York', 'ORGANIZATION', 1)('Moors', 'ORGANIZATION', 1)('Durham', 'CITY', 1)"
1960,LOWER GRADE,GEOGRAPHY,1,,Name the July isotherm marked on the map; estimate the mean July temperatures at G and H; state why the mean July temperature for G is nearer to the actual temperature than that shown for H.,7.79,16.2,18.84,21,0,0,21,0.0,describe,0.3807648420333862,"('July', 'DATE', 3)"
1960,LOWER GRADE,GEOGRAPHY,1,,"On the railway from Glasgow to the south mark and name Beattock, Shap, Annan Valley, and Crewe; mark an area noted for dairy farming (D), an area noted for salt-mining (S), and an area noted for heavy industry (H).",7.38,13.8,15.6,23,0,0,23,0.0,describe,0.4124496579170227,"('Glasgow', 'CITY', 1)('Beattock', 'LOCATION', 1)('Shap', 'PERSON', 1)('Annan', 'CITY', 1)('Valley', 'CITY', 1)('Crewe', 'ORGANIZATION', 1)"
1960,LOWER GRADE,GEOGRAPHY,1,,On the accompanying map of the world: ,6.24,6.0,8.51,3,0,0,3,0.0,discuss,0.7630029916763306,
1960,LOWER GRADE,GEOGRAPHY,1,,"Name the six capitals marked with a dot and beside each name the appropriate country; identify the Andes, Caucasus, the Karroos, and the Tarim Basin; name the rivers Ob, Mackenzie, Zambezi, and Orinoco.",11.62,15.0,18.05,21,0,0,21,0.0,discuss,0.4066828191280365,"('six', 'NUMBER', 1)('Andes', 'CITY', 1)('Karroos', 'LOCATION', 1)('Tarim', 'LOCATION', 1)('Basin', 'LOCATION', 1)('Mackenzie', 'PERSON', 1)('Zambezi', 'CITY', 1)('Orinoco', 'LOCATION', 1)"
1960,LOWER GRADE,GEOGRAPHY,1,,Name the four ocean currents marked and state whether each is a warm or a cold current.,6.32,5.2,6.8,10,1,0,9,0.2263,discuss,0.6683609485626221,"('four', 'NUMBER', 1)('current', 'DATE', 1)"
1960,LOWER GRADE,GEOGRAPHY,1,,"Beside each of the three stippled areas state the season of maximum rainfall, the warmest month, and the natural vegetation.",12.3,9.9,14.0,12,2,0,10,0.38155,discuss,0.4670573472976684,"('three', 'NUMBER', 1)('month', 'DURATION', 1)"
1960,LOWER GRADE,GEOGRAPHY,1,,Study the contour map supplied and then answer the following: ,7.29,6.0,4.0,6,0,0,6,0.0,reason,0.9601970911026,
1960,LOWER GRADE,GEOGRAPHY,1,,Describe the relief and drainage and show to what extent they have influenced the route system of the area.,9.57,8.3,9.71,9,1,0,8,0.4767,reason,0.5740504264831543,
1960,LOWER GRADE,GEOGRAPHY,1,,Comment on the distribution of factories.,12.98,8.0,9.07,3,0,0,3,0.0,reason,0.9448094367980956,
1960,LOWER GRADE,GEOGRAPHY,1,,Why did a port develop at A and not at F?,-2.64,2.9,8.04,3,0,0,3,0.0,explain,0.993559956550598,
1960,LOWER GRADE,GEOGRAPHY,1,,Describe the main features of the distribution of land and sea throughout the world and in your answer contrast the northern and southern hemispheres.,8.77,11.5,11.27,13,0,0,13,0.0,discuss,0.7495429515838623,
1960,LOWER GRADE,GEOGRAPHY,1,,How would you recognise that a mountainous area had been glaciated? Consider features of both erosion and deposition.,11.1,6.8,12.49,9,0,0,9,0.0,describe,0.8837698101997375,
1960,LOWER GRADE,GEOGRAPHY,1,,"What is meant by cyclonic rainfall, relief rainfall, and convectional rainfall? Select Java or the Western Ghats or southern Japan and give an explanatory account of the seasonal variation in its rainfall throughout the year.",9.47,10.1,11.57,21,1,0,20,0.4767,discuss,0.3265829384326935,"('Select', 'MISC', 1)('Java', 'MISC', 1)('Western', 'MISC', 1)('Ghats', 'MISC', 1)('Japan', 'COUNTRY', 1)('the', 'DATE', 1)('year', 'DATE', 1)"
1960,LOWER GRADE,GEOGRAPHY,1,,"On the map of the world provided for question 2 three areas A, B, and C are marked. State whether these are densely, moderately, or sparsely peopled and account for the density of each.",10.05,5.2,7.98,18,0,0,18,0.0,discuss,0.4004352390766144,"('2', 'NUMBER', 1)('three', 'NUMBER', 1)"
1960,LOWER GRADE,GEOGRAPHY,1,,Account for the growth of either heavy industries in Lanarkshire and South Wales or woollen industries in the Borders and the West Riding of Yorkshire. In what ways do these examples of the same industry differ?,9.35,8.0,8.31,18,1,0,17,0.3818,discuss,0.9787976145744324,"('Lanarkshire', 'LOCATION', 1)('South', 'LOCATION', 1)('Wales', 'LOCATION', 1)('Yorkshire', 'LOCATION', 1)"
