year,level,subject,question,text,coleman_liau,flesch_kincaid,gunning_fog,total_tokens,positive_tokens,negative_tokens,neutral_tokens,compound_sentiment_score,intent,intent_certainty,named_entities,thematic_keywords
1963,Ordinary Grade,HISTORY,1,"Give an account of three of the following, showing their importance in the reign of William the Conqueror:— the Battle of Hastings; the Oath of Salisbury; the Royal Forests; Domesday Book; Archbishop Lanfranc.",11.02,15.0,18.05,19,1,1,17,-0.010299999999999976,discuss,0.32006800174713135,,
1963,Ordinary Grade,HISTORY,2. ,Why did David I support the Church in Scotland and what developments did he encourage in it ? ,9.12,8.7,11.51,6,2,0,4,0.45625000000000004,explain,0.986570417881012,,
1963,Ordinary Grade,HISTORY,2. b,Describe daily life in a twelfth-century monastery. (References to any monastery you know will be welcome.),11.9,6.4,8.2,9,1,0,8,0.4588,discuss,0.5855599045753479,,
1963,Ordinary Grade,HISTORY,3,State briefly why there were disorders in Stephen’s reign. What reforms were carried out in military affairs and in justice by Henry II to prevent further disorders ?,11.32,6.2,6.88,14,2,2,10,-0.062825,describe,0.43933579325675964,,
1963,Ordinary Grade,HISTORY,4,Which do you think was the most successful of the Crusades and why ? What were the main results of the Crusades for Europe ?,7.64,3.1,6.34,7,1,0,6,0.5859,explain,0.9483671188354492,,
1963,Ordinary Grade,HISTORY,5,Give an account of King John’s dealings with the King of France and with the Church.,7.39,3.6,6.4,8,0,0,8,0.0,reason,0.964013934135437,,
1963,Ordinary Grade,HISTORY,6,What problems faced Bruce after the murder of Comyn (1306) ? Give an account of his career from then up to the Treaty of Northampton (1326).,9.94,3.4,5.0,12,0,2,10,-0.54635,discuss,0.3840528428554535,,
1963,Ordinary Grade,HISTORY,7,Give an account of Edward Ill’s dealings with Scotland. Why did he go to war with France ?,8.7,1.9,3.4,9,0,2,7,-0.5104500000000001,explain,0.8503026366233826,,
1963,Ordinary Grade,HISTORY,8,“ The Black Death was the most important event of the later Middle Ages.” Do you agree ?,6.99,0.5,3.2,8,2,1,5,-0.011966666666666672,other,0.8664703369140625,,
1963,Ordinary Grade,HISTORY,9,Give an account of conditions in Scotland when James I returned from England (1424). What did James do to restore order ?,9.42,5.0,6.1,11,1,0,10,0.296,describe,0.5454269051551819,,
1963,Ordinary Grade,HISTORY,10,Write notes on two of the following:— Malcolm Canmore; Norman church architecture; the cultivation of the demesne on a manor; St. Francis of Assisi; Roger Bacon; the trivium and quadrivium; the Battle of Largs; Edward I and parliament; fairs and markets.,11.97,11.3,12.1,25,1,2,22,-0.04693333333333333,reason,0.9316550493240356,,
1963,Ordinary Grade,HISTORY,11,In what ways do the reigns of James IV and James V mark the end of the Middle Ages in Scotland ?,9.94,4.4,8.4,11,0,0,11,0.0,describe,0.9504371881484985,,
1963,Ordinary Grade,HISTORY,12,Give a brief account of each of the following items and explain its importance:— Cardinal Beaton; The Lords of the Congregation; The Reformation Parliament (1560).,11.19,13.0,18.0,14,1,0,13,0.3612,reason,0.8698492050170898,,
1963,Ordinary Grade,HISTORY,13,Write notes on two of the following:— the marriages of Mary Queen of Scots; James VI and the Scottish Kirk; industry and trade in the reign of James VI; the Union of the Crowns.,10.9,11.8,13.6,19,0,0,19,0.0,reason,0.9762172102928162,,
1963,Ordinary Grade,HISTORY,14,"Describe the part played by Scotland in the Civil Wars between Charles I and the English parliament, taking account of: the Solemn League and Covenant, the Marquis of Montrose, and the Engagement.",11.14,13.4,16.55,17,2,2,13,0.03054999999999999,discuss,0.5734570026397705,,
1963,Ordinary Grade,HISTORY,15,Outline the terms of the Restoration Settlement in Scotland in church and state. To whom and for what reasons did it give cause for discontent ?,7.41,5.8,8.2,11,0,0,11,0.0,describe,0.768885612487793,,
1963,Ordinary Grade,HISTORY,16,Explain how the Union of 1707 came about. What in your opinion was the most important factor making for union ?,7.29,4.8,4.0,9,1,0,8,0.2023,describe,0.2966575622558594,,
1963,Ordinary Grade,HISTORY,17,State briefly where the Jacobite movement got most of its support and for what reasons. Describe the measures taken to pacify the Highlands after the Forty-five.,9.14,6.0,8.28,13,1,0,12,0.4019,discuss,0.6584451794624329,,
1963,Ordinary Grade,HISTORY,18,Describe the changes which took place in the life and work of people in the lowlands in town or country in the eighteenth century.,7.46,7.9,9.6,12,0,1,11,-0.0258,discuss,0.7055409550666809,,
1963,Ordinary Grade,HISTORY,19,Outline the main developments in internal transport in Scotland since (1750).,12.79,8.8,11.67,8,0,0,8,0.0,argue,0.6253738403320312,,
1963,Ordinary Grade,HISTORY,20,Describe the work of Scottish missionaries and soldiers in India in the nineteenth century. What contribution was made to the westernisation of India by the Earl of Dalhousie ? Has there been a distinctively Scottish contribution to Indian affairs ? Give reasons for your answer.,8.95,8.7,8.04,22,0,0,22,0.0,describe,0.7586290240287781,,
1963,Ordinary Grade,HISTORY,21,"Write notes on two of the following:— The Porteous Riots; Thomas Muir; the Municipal Reform Act, 1833; The growth of shipbuilding or coalmining in Scotland; Church union in Scotland and the movement for Christian Unity.",12.59,15.8,17.43,22,1,1,20,-0.08780000000000002,reason,0.9460740685462952,,
1963,Ordinary Grade,HISTORY,22. ,Either Say what you understand by the terms “ Home Rule ” and “ Devolution ”. What attempts have been made since the appointment of a Scottish Secretary in 1885 to provide Scotland with some control of its own affairs ? What measures of this kind operate today ? ,9.12,6.5,9.44,22,1,0,21,0.5267,compare,0.4309805929660797,,
1963,Ordinary Grade,HISTORY,22. b,Give an account of two of the following with special reference to Scottish history:— The growth of the Labour movement; the Great Depression of the nineteen- thirties; declining industries and new industries since 1945; the Toothill report.,14.17,17.7,19.12,23,3,1,19,0.209175,reason,0.35278213024139404,,
1963,Ordinary Grade,HISTORY,23,"Describe the achievement of three of the following, explaining their historical importance:— Vasco da Gama; Cortes; Leonardo da Vinci; Michael Angelo; John Calvin; Ignatius Loyola; Copernicus; Galileo.",15.5,17.4,18.21,22,1,0,21,0.3612,reason,0.7720190286636353,,
1963,Ordinary Grade,HISTORY,24,In what ways did either James IV or Henry VII benefit his country ?,11.57,3.6,8.28,8,1,0,7,0.4588,describe,0.7613778114318848,,
1963,Ordinary Grade,HISTORY,25. ,"Describe, under the following headings, the changes made by Henry VIII in religious affairs:— the power of the Pope; the monasteries; changes in worship and doctrine. ",11.0,12.3,13.48,15,1,0,14,0.296,discuss,0.6539104580879211,,
1963,Ordinary Grade,HISTORY,25. b,Or Sketch the career of John Knox showing the changes in Scottish religion that he helped to bring about.,8.99,7.2,9.71,10,0,0,10,0.0,argue,0.3521532714366913,,
1963,Ordinary Grade,HISTORY,26,Describe the contributions made to Elizabethan maritime achievements by two of the following:— Hawkins; Drake; Raleigh.,11.34,9.5,11.4,11,0,0,11,0.0,reason,0.43997716903686523,,
1963,Ordinary Grade,HISTORY,27,"What were the main terms of the Statute of Artificers (1563), and the Elizabethan Poor Law (1601) ? Discuss the economic problems that one of these was intended to solve.",10.89,6.6,11.32,15,1,2,12,-0.22543333333333335,describe,0.6221963167190552,,
1963,Ordinary Grade,HISTORY,28,Give an account of James Fs dealings with the English Parliament. What light do these throw on his character ?,8.26,4.6,8.01,10,0,0,10,0.0,describe,0.6340441107749939,,
1963,Ordinary Grade,HISTORY,29,What problems faced Charles I during the eleven years of personal rule (1629-40) and how did he meet them ? Explain the breakdown of his personal rule.,9.14,6.0,6.74,13,0,1,12,-0.4019,compare,0.8629621267318726,,
1963,Ordinary Grade,HISTORY,30,Outline briefly the course of the First Civil War (1641-46). How do you account for the Royalist defeat ?,8.47,3.3,5.82,10,0,2,8,-0.5291,describe,0.5555785298347473,,
1963,Ordinary Grade,HISTORY,31,Describe am countries:— Ireland; Scotland; Spain.,14.46,6.8,2.4,5,0,0,5,0.0,discuss,0.6059498190879822,,
1963,Ordinary Grade,HISTORY,32,"Write notes on two of the following, showing their importance:— Catherine of Aragon; The Protector Northumberland; Edmund Campion; Andrew Melville; Francis Bacon; The Pilgrim Fathers; The Barebones Parliament.",14.05,16.6,19.77,20,1,0,19,0.3612,reason,0.9722654223442078,,
1963,Ordinary Grade,HISTORY,33. ,What were the main provisions of the Clarendon Code and the Test Act and what was their importance ? ,8.92,6.8,13.87,7,1,0,6,0.3612,compare,0.9067589044570923,,
1963,Ordinary Grade,HISTORY,33. b,Or describe Charles IVs religious policy in Scotland and explain the opposition which it encountered.,15.36,9.1,11.33,9,0,0,9,0.0,discuss,0.5871420502662659,,
1963,Ordinary Grade,HISTORY,34,In what circumstances did two of the following take place and what was their importance ? The Bill of Rights; the Act of Settlement; the abolition of the Lords of the Articles; the Treaty of Limerick.,8.11,7.8,11.57,15,1,0,14,0.3612,describe,0.7956820726394653,,
1963,Ordinary Grade,HISTORY,35. ,Either Discuss the contribution of Marlborough to the defeat of Louis XIV in the War of the Spanish Succession. ,10.4,9.5,13.92,10,1,2,7,-0.2853,reason,0.8799035549163818,,
1963,Ordinary Grade,HISTORY,35. b,Or describe what were the main terms of the Treaty of Utrecht ? Was that treaty fair to Britain’s allies ?,6.29,2.3,3.8,9,1,0,8,0.3182,other,0.7705565094947815,,
1963,Ordinary Grade,HISTORY,36,Give an account of two of the following:— The Royal Society; Highland life on the eve of the Forty-five; the life of an eighteenth-century Lowland laird; the life of an eighteenth-century English squire; Edinburgh society in the late eighteenth century.,8.78,18.9,18.0,23,0,1,22,-0.0258,reason,0.5660557150840759,,
1963,Ordinary Grade,HISTORY,37,"Explain how Walpole contrived to keep the support of the monarch, and parliament, in the period (1721-1742). How do you account for his fall in 1742 ?",9.14,4.8,6.74,12,1,0,11,0.4019,reason,0.7595154643058777,,
1963,Ordinary Grade,HISTORY,38,Describe the military achievement of Clive in India and Wolfe in Canada.,12.13,5.6,8.13,7,0,0,7,0.0,reason,0.8616580367088318,,
1963,Ordinary Grade,HISTORY,39,"Explain briefly what is meant by the following:— the old colonial system, and “no taxation without representation ”. ",9.12,12.3,13.86,10,0,0,10,0.0,reason,0.4055897295475006,,
1963,Ordinary Grade,HISTORY,39b,Give an account of the events in George Ill’s reign leading up to the revolt of the American colonies.,7.78,7.2,7.6,10,0,1,9,-0.4215,reason,0.8869276642799377,,
1963,Ordinary Grade,HISTORY,40,"What is meant by the Enclosure Movement in England, and what was its importance in the Agrarian Revolution ? Explain briefly the different situation in Scotland as regards enclosure.",9.97,8.8,9.89,14,1,0,13,0.3612,discuss,0.5752588510513306,,
1963,Ordinary Grade,HISTORY,41,What were the main changes in inland transport in the Industrial Revolution period before the coming of railways ?,11.55,10.3,11.64,9,0,0,9,0.0,compare,0.7561928033828735,,
1963,Ordinary Grade,HISTORY,42,Write notes on two of the following:— the Popish Plot; the “Young Pretender”; the Duke of Newcastle; the Carron Ironworks; Adam Smith’s “ Wealth of Nations ”; “ Wilkes and Liberty ”.,11.79,10.7,12.63,18,2,0,16,0.5103,reason,0.960293710231781,,
1963,Ordinary Grade,HISTORY,43,Give an account of two of the following aspects of the work of the younger Pitt:— his commercial and financial policy in time of peace; either the India Act (1784) or the Canada Act (1791); his policy of repression after the outbreak of the French war; his conduct of the wars against France.,10.73,20.4,23.46,28,1,3,24,-0.259575,reason,0.33555367588996887,,
1963,Ordinary Grade,HISTORY,44,Give an account of two of the following:— the slave trade and its abolition; child labour and its regulation up to the Factory Act of 1833; the contribution of Francis Place or Robert Owen to the Trade Union movement; the main terms and consequences of the Poor Law Amendment Act (1834).,10.81,20.8,22.75,29,0,1,28,-0.4767,reason,0.34327927231788635,,
1963,Ordinary Grade,HISTORY,45.  ,Either describe briefly the struggle to pass the Reform Bill in the years 1831-,9.97,2.9,5.6,9,0,1,8,-0.3182,discuss,0.9303476810455322,,
1963,Ordinary Grade,HISTORY,32,What were the main changes in the Electoral system of either Scotland or England brought about by the Reform Act of 1832 ? ,10.47,8.3,10.62,11,0,0,11,0.0,compare,0.6893395185470581,,
1963,Ordinary Grade,HISTORY,32b,"Or describe what were the demands of the Chartists and which of them had been, met by 1914 ? Why did so many people oppose their proposals at the time ?",5.91,4.2,7.18,10,0,1,9,-0.128,explain,0.9443444609642029,,
1963,Ordinary Grade,HISTORY,46,Explain the part played by engineers and railway companies in making Britain’s railways in the nineteenth century. What advantages did the railways have over other forms of transport in the mid-nineteenth century ?,9.86,9.5,10.15,17,2,0,15,0.29500000000000004,discuss,0.3961903750896454,,
1963,Ordinary Grade,HISTORY,47,Describe the part played by Disraeli in two of the following:— the second Reform Act; the purchase of the Suez Canal shares; the Congress of Berlin; his relations with Queen Victoria. What light do the topics of your choice throw on the character and views of Disraeli ?,9.17,8.9,11.95,25,2,0,23,0.318,discuss,0.4919379651546478,,
1963,Ordinary Grade,HISTORY,48,"What were the main reforms of Gladstone’s first ministry, 1868-74 ? Which do you think was the most important and why ?",8.87,3.7,4.0,8,1,0,7,0.2023,explain,0.9132227897644043,,
1963,Ordinary Grade,HISTORY,49,Explain the importance to Ireland and to Britain of three of the following:— the Act of Union (1801); Daniel O’Connell; the potato famine; the Land League; the first Home Rule Bill.,9.76,11.8,13.69,19,1,0,18,0.3612,reason,0.6399751305580139,,
1963,Ordinary Grade,HISTORY,50,"Explain, and show the importance of, three of the following:— {a) the Bank Charter Act, 1844; (6) the growth of limited liability companies; ",10.27,11.1,14.42,14,2,2,10,0.0786,describe,0.7353562712669373,,
1963,Ordinary Grade,HISTORY,50c,"the growth of co-operative societies; {d) the decline in agriculture, 1870-1900;",14.77,11.1,15.31,6,1,0,5,0.3818,describe,0.8831247091293335,,
1963,Ordinary Grade,HISTORY,50e,the Dock Strike (1889). Page seven Marks,1.31,-1.3,1.4,6,0,1,5,-0.128,argue,0.41066044569015503,,
1963,Ordinary Grade,HISTORY,51. ,Either describe the extension of British power in India from Wellesley to Dalhousie. (A sketch map would help.) (6) Or what were the causes of the Indian Mutiny ? How do you account for the failure of the Mutiny ?,8.26,3.5,4.85,19,1,1,17,-0.05435000000000004,discuss,0.5999962091445923,,
1963,Ordinary Grade,HISTORY,52,Write short notes on two of the following:— the Athenian Age in Edinburgh; the Naval Mutinies of 1797; the Berlin Decree (1806); Peterloo; Mehemet Ali; David Livingstone; Florence Nightingale; “ the Crofters War ”; Lord Lister.,13.68,14.2,17.13,25,0,1,24,-0.5994,reason,0.9501846432685852,,
1963,Ordinary Grade,HISTORY,53,Marconi; Watson-Watt; Rutherford; Edison; Baird; Fleming; the Wright Brothers. Give a brief account of three of these and show the importance of the achievements with which they are associated.,11.43,7.8,8.56,16,1,0,15,0.3612,argue,0.43269678950309753,,
1963,Ordinary Grade,HISTORY,54. ,Outline the course of events that led to the passing of the Parliament Act of (1911). What changes did it effect in parliament ? State briefly any important change that has been made since in the Act.,7.3,3.3,5.91,18,1,0,17,0.2023,describe,0.5595364570617676,,
1963,Ordinary Grade,HISTORY,55,"Describe the achievements of the Labour Government of 1945-51 in:— National Insurance;  National Health Insurance, and The nationalisation of industries.",10.94,15.8,16.0,12,0,0,12,0.0,discuss,0.4078517258167267,,
1963,Ordinary Grade,HISTORY,56,Give an account of two of the following:— Joseph Chamberlain and Tariff Reform; King Edward VII; the Sinn Fein movement 1916-21; the Representation of the People Act (1918); Ramsay MacDonald; the General Strike of 1926; the Scottish Home Rule Movement in the twentieth century.,13.0,19.3,21.24,30,0,1,29,-0.128,discuss,0.4323084056377411,,
1963,Ordinary Grade,HISTORY,57.  ,"Either sketch the career of Gandhi, showing his importance in Indian history. ",10.81,8.0,8.13,8,1,0,7,0.3612,discuss,0.8245661854743958,,
