year,level,subject,paper,question,text,coleman_liau,flesch_kincaid,gunning_fog,total_tokens,positive_tokens,negative_tokens,neutral_tokens,compound_sentiment_score,intent,intent_certainty,named_entities,thematic_keywords
2019,Higher,HISTORY,2,1,To what extent were the landed classes the most important part of feudal society?,9.97,6.4,8.46,7,1,1,5,0.0,describe,0.846594512462616,,
2019,Higher,HISTORY,2,2,The most important role of the church in medieval society was religious. How valid is this view?,8.7,6.6,10.46,8,1,0,7,0.2023,describe,0.8946431279182434,,
2019,Higher,HISTORY,2,3,How important was the Peasants’ Revolt as a reason for the decline of feudal society?,9.64,9.1,8.67,7,1,1,5,0.0,describe,0.9732667803764343,,
2019,Higher,HISTORY,2,4,How important were economic issues as a reason for the problems faced by King James after the Union of the Crowns in 1603?,10.27,8.7,10.94,11,1,1,9,-0.09979999999999999,describe,0.9880897402763367,,
2019,Higher,HISTORY,2,5,To what extent did Charles I’s policies in Scotland meet with success up to 1642?,11.75,4.4,6.0,7,1,0,6,0.5719,describe,0.9951112866401672,,
2019,Higher,HISTORY,2,6,"The Revolution Settlement brought about significant changes, (1688−1702). How valid is this view?",11.25,5.8,8.75,8,1,0,7,0.2023,describe,0.8791177868843079,,
2019,Higher,HISTORY,2,7,To what extent were religious factors the main reason for the development of the slave trade?,9.36,7.2,11.4,8,0,0,8,0.0,describe,0.5285921096801758,,
2019,Higher,HISTORY,2,8,The slave trade was important in the development of the British economy. How valid is this view?,7.77,5.4,5.75,8,1,0,7,0.2023,describe,0.8526730537414551,,
2019,Higher,HISTORY,2,9,How important was the decline in the economic importance of slavery as a reason for the success of the abolitionist campaign in 1807?,10.27,12.3,14.42,10,3,1,6,0.10877499999999998,describe,0.9898632764816284,,
2019,Higher,HISTORY,2,1,To what extent were the landed classes the most important part of feudal society?,9.97,6.4,8.46,7,1,1,5,0.0,describe,0.846594512462616,,
2019,Higher,HISTORY,2,2,The most important role of the church in medieval society was religious. How valid is this view?,8.7,6.6,10.46,8,1,0,7,0.2023,describe,0.8946431279182434,,
2019,Higher,HISTORY,2,3,How important was the Peasants’ Revolt as a reason for the decline of feudal society?,9.64,9.1,8.67,7,1,1,5,0.0,describe,0.9732667803764343,,
2019,Higher,HISTORY,2,4,How important were economic issues as a reason for the problems faced by King James after the Union of the Crowns in 1603?,10.27,8.7,10.94,11,1,1,9,-0.09979999999999999,describe,0.9880897402763367,,
2019,Higher,HISTORY,2,5,To what extent did Charles I’s policies in Scotland meet with success up to 1642?,11.75,4.4,6.0,7,1,0,6,0.5719,describe,0.9951112866401672,,
2019,Higher,HISTORY,2,6,"The Revolution Settlement brought about significant changes, (1688−1702). How valid is this view?",11.25,5.8,8.75,8,1,0,7,0.2023,describe,0.8791177868843079,,
2019,Higher,HISTORY,2,7,To what extent were religious factors the main reason for the development of the slave trade?,9.36,7.2,11.4,8,0,0,8,0.0,describe,0.5285921096801758,,
2019,Higher,HISTORY,2,8,The slave trade was important in the development of the British economy. How valid is this view?,7.77,5.4,5.75,8,1,0,7,0.2023,describe,0.8526730537414551,,
