question;label;
How does Shakespeare use imagery to develop the theme of ambition in Macbeth?; Discuss;
What parallels can be drawn between the character development of Elizabeth Bennet and Mr. Darcy in Pride and Prejudice?; Compare;
In what way does the green light symbolize Gatsby's desires and dreams?; Explain;
Detail the ways in which Gothic elements contribute to the atmosphere in Jane Eyre.; Describe;
To what extent does the setting influence the characters' actions in Lord of the Flies?; Reason;
What role does symbolism play in developing the theme of corruption in Animal Farm?; Explain;
Write about the effectiveness of stream of consciousness narrative in Mrs. Dalloway.; Other;
Present your interpretation of the American Dream in Of Mice and Men.; Discuss;
Consider the impact of social class on the plot development in Great Expectations.; Discuss;
Outline the key features that make Hamlet a tragic hero.; Describe;
In what ways does Orwell use language to create fear in 1984?; Explain;
Should Brutus be considered a hero or villain in Julius Caesar?; Argue;
Compare the treatment of love in two sonnets by different poets.; Compare;
How effective is the use of foreshadowing in Romeo and Juliet?; Discuss;
What message does Miller convey about justice in The Crucible?; Explain;
Examine the significance of the mockingbird symbol in To Kill a Mockingbird.; Explain;
How does Wilde use satire to criticize Victorian society?; Discuss;
Compare the presentation of women in Jane Austen's Emma and Charlotte Brontë's Jane Eyre.; Compare;
Justify why the ending of King Lear can be considered both tragic and fitting.; Argue;
What role does the supernatural play in Macbeth's downfall?; Explain;
How do the color symbols reflect the themes of The Great Gatsby?; Explain;
Detail the ways in which Conrad builds tension in Heart of Darkness.; Describe;
What makes Othello a compelling tragic hero?; Reason;
Compare the representation of love in two poems from different time periods.; Compare;
How does Williams use symbolism to develop themes in A Streetcar Named Desire?; Explain;
Examine the role of fate versus free will in Romeo and Juliet.; Discuss;
What techniques does Shelley use to create sympathy for the monster in Frankenstein?; Explain;
How does Hardy present nature in his poetry?; Describe;
Compare the ways different authors present the theme of war in two poems.; Compare;
Why might Lady Macbeth be considered the fourth witch in Macbeth?; Reason;
Assess the importance of setting in Wuthering Heights.; Discuss;
How does Miller use dramatic irony in Death of a Salesman?; Explain;
What makes Nick Carraway an effective narrator in The Great Gatsby?; Reason;
Detail the ways Priestley builds dramatic tension in An Inspector Calls.; Describe;
Compare the presentation of power in Ozymandias and My Last Duchess.; Compare;
How does Shakespeare explore the theme of appearance versus reality in Hamlet?; Discuss;
What role does weather play in developing mood in Wuthering Heights?; Explain;
Should John Proctor be considered a tragic hero in The Crucible?; Argue;
How does Orwell use allegory to criticize political systems in Animal Farm?; Explain;
Compare the ways poets present relationships in two love poems.; Compare;
What message does Golding convey about human nature in Lord of the Flies?; Discuss;
Write about the significance of the glass unicorn in The Glass Menagerie.; Other;
Detail the ways Shakespeare presents the relationship between Macbeth and Lady Macbeth.; Describe;
Why is the ending of The Merchant of Venice considered problematic?; Reason;
Compare the presentation of parent-child relationships in King Lear and Hamlet.; Compare;
How does Carol Ann Duffy challenge traditional gender roles in her poetry?; Discuss;
What role does the past play in The Great Gatsby?; Explain;
Detail how Blake presents childhood in Songs of Innocence and Experience.; Describe;
How does Miller build tension throughout The Crucible?; Explain;
Compare the ways different poets present the theme of loss.; Compare;
What makes Isabella a complex character in Measure for Measure?; Reason;
How does Shakespeare explore the theme of betrayal in Julius Caesar?; Discuss;
What role does social class play in Pride and Prejudice?; Explain;
Compare the presentation of madness in King Lear and Hamlet.; Compare;
Should Shylock be considered a victim or villain in The Merchant of Venice?; Argue;
Detail the ways in which Dickens creates sympathy for his characters.; Describe;
What makes Death of a Salesman a modern tragedy?; Reason;
How does Shakespeare present the theme of loyalty in King Lear?; Discuss;
Compare the ways poets present nature in two poems.; Compare;
What role does guilt play in Macbeth?; Explain;
Present your view on whether Inspector Goole is a supernatural being.; Argue;
Detail the ways Hardy presents relationships in his poetry.; Describe;
Compare the presentation of conflict in two war poems.; Compare;
What makes Iago such an effective villain?; Reason;
How does Priestley explore responsibility in An Inspector Calls?; Discuss;
What role does memory play in The Glass Menagerie?; Explain;
Compare the ways different poets present death.; Compare;
Write about the significance of Curley's wife in Of Mice and Men.; Other;
Detail the ways Steinbeck presents friendship in Of Mice and Men.; Describe;
What makes Bottom an important character in A Midsummer Night's Dream?; Reason;
How does Wilde use humor to critique society?; Discuss;
Compare the presentation of women in two Victorian novels.; Compare;
What role does fate play in Romeo and Juliet?; Explain;
How does Owen present the horror of war in his poetry?; Describe;
Compare the ways different authors present love in their poetry.; Compare;
What makes The Handmaid's Tale a dystopian novel?; Reason;
How does Shakespeare explore power in The Tempest?; Discuss;
What role does the forest play in As You Like It?; Explain;
Detail the ways poets present conflict in their work.; Describe;
Compare the presentation of marriage in Pride and Prejudice and Jane Eyre.; Compare;
Should we sympathize with Tess in Tess of the d'Urbervilles?; Argue;
What makes Beatrice and Benedick's relationship compelling?; Reason;
How does Orwell create tension in 1984?; Discuss;
Compare the ways different poets present childhood.; Compare;
What role does deception play in Much Ado About Nothing?; Explain;
How does Shelley present nature in her poetry?; Describe;
Compare the presentation of evil in Macbeth and Dr. Jekyll and Mr. Hyde.; Compare;
What makes Cordelia's silence powerful in Act 1 of King Lear?; Reason;
How does Williams explore the American Dream in A Streetcar Named Desire?; Discuss;
What role does the past play in Great Expectations?; Explain;
Detail the ways Shakespeare presents love in Twelfth Night.; Describe;
Compare the presentation of parenthood in two texts.; Compare;
Write about the importance of the three witches in Macbeth.; Other;
What makes Richard III a compelling villain?; Reason;
How does Austen present marriage in Pride and Prejudice?; Discuss;
Compare the ways different poets present war.; Compare;
What role does religion play in The Canterbury Tales?; Explain;
How does Hardy present rural life in his novels?; Describe;
Compare the presentation of justice in The Merchant of Venice and Measure for Measure.; Compare;
What makes Cleopatra a complex character?; Reason;
How does Shakespeare explore gender roles in The Taming of the Shrew?; Discuss;
Compare the use of supernatural elements in Macbeth and A Midsummer Night's Dream.; Compare;
What function does the character of Mercutio serve in Romeo and Juliet?; Explain;
Detail how Ted Hughes presents animals in his poetry.; Describe;
Why can Jane Eyre be considered ahead of its time?; Reason;
Should readers sympathize with Heathcliff in Wuthering Heights?; Argue;
Write about the significance of the red room in Jane Eyre.; Other;
How does Fitzgerald critique the American Dream in The Great Gatsby?; Discuss;
Compare the presentation of fathers in King Lear and Hamlet.; Compare;
What role does the mockingbird symbolism play throughout To Kill a Mockingbird?; Explain;
Detail the ways Steinbeck presents loneliness in Of Mice and Men.; Describe;
Why might Gatsby be considered a tragic hero?; Reason;
Is Gertrude complicit in her husband's murder?; Argue;
Explore the importance of the three caskets in The Merchant of Venice.; Other;
How does Miller present the theme of reputation in The Crucible?; Discuss;
Compare the treatment of time in two modernist novels.; Compare;
What purpose does the character of Fool serve in King Lear?; Explain;
Detail how Larkin presents death in his poetry.; Describe;
Why is Caliban essential to the themes of The Tempest?; Reason;
