question;label;
how does shakespeare use imagery to develop the theme of ambition in macbeth?; discuss;
what parallels can be drawn between the character development of elizabeth bennet and mr. darcy in pride and prejudice?; compare;
in what way does the green light symbolize gatsby's desires and dreams?; explain;
detail the ways in which gothic elements contribute to the atmosphere in jane eyre.; describe;
to what extent does the setting influence the characters' actions in lord of the flies?; reason;
what role does symbolism play in developing the theme of corruption in animal farm?; explain;
write about the effectiveness of stream of consciousness narrative in mrs. dalloway.; other;
present your interpretation of the american dream in of mice and men.; discuss;
consider the impact of social class on the plot development in great expectations.; discuss;
outline the key features that make hamlet a tragic hero.; describe;
in what ways does orwell use language to create fear in 1984?; explain;
should brutus be considered a hero or villain in julius caesar?; argue;
compare the treatment of love in two sonnets by different poets.; compare;
how effective is the use of foreshadowing in romeo and juliet?; discuss;
what message does miller convey about justice in the crucible?; explain;
examine the significance of the mockingbird symbol in to kill a mockingbird.; explain;
how does wilde use satire to criticize victorian society?; discuss;
compare the presentation of women in jane austen's emma and charlotte brontë's jane eyre.; compare;
justify why the ending of king lear can be considered both tragic and fitting.; argue;
what role does the supernatural play in macbeth's downfall?; explain;
how do the color symbols reflect the themes of the great gatsby?; explain;
detail the ways in which conrad builds tension in heart of darkness.; describe;
what makes othello a compelling tragic hero?; reason;
compare the representation of love in two poems from different time periods.; compare;
how does williams use symbolism to develop themes in a streetcar named desire?; explain;
examine the role of fate versus free will in romeo and juliet.; discuss;
what techniques does shelley use to create sympathy for the monster in frankenstein?; explain;
how does hardy present nature in his poetry?; describe;
compare the ways different authors present the theme of war in two poems.; compare;
why might lady macbeth be considered the fourth witch in macbeth?; reason;
assess the importance of setting in wuthering heights.; discuss;
how does miller use dramatic irony in death of a salesman?; explain;
what makes nick carraway an effective narrator in the great gatsby?; reason;
detail the ways priestley builds dramatic tension in an inspector calls.; describe;
compare the presentation of power in ozymandias and my last duchess.; compare;
how does shakespeare explore the theme of appearance versus reality in hamlet?; discuss;
what role does weather play in developing mood in wuthering heights?; explain;
should john proctor be considered a tragic hero in the crucible?; argue;
how does orwell use allegory to criticize political systems in animal farm?; explain;
compare the ways poets present relationships in two love poems.; compare;
what message does golding convey about human nature in lord of the flies?; discuss;
write about the significance of the glass unicorn in the glass menagerie.; other;
detail the ways shakespeare presents the relationship between macbeth and lady macbeth.; describe;
why is the ending of the merchant of venice considered problematic?; reason;
compare the presentation of parent-child relationships in king lear and hamlet.; compare;
how does carol ann duffy challenge traditional gender roles in her poetry?; discuss;
what role does the past play in the great gatsby?; explain;
detail how blake presents childhood in songs of innocence and experience.; describe;
how does miller build tension throughout the crucible?; explain;
compare the ways different poets present the theme of loss.; compare;
what makes isabella a complex character in measure for measure?; reason;
how does shakespeare explore the theme of betrayal in julius caesar?; discuss;
what role does social class play in pride and prejudice?; explain;
compare the presentation of madness in king lear and hamlet.; compare;
should shylock be considered a victim or villain in the merchant of venice?; argue;
detail the ways in which dickens creates sympathy for his characters.; describe;
what makes death of a salesman a modern tragedy?; reason;
how does shakespeare present the theme of loyalty in king lear?; discuss;
compare the ways poets present nature in two poems.; compare;
what role does guilt play in macbeth?; explain;
present your view on whether inspector goole is a supernatural being.; argue;
detail the ways hardy presents relationships in his poetry.; describe;
compare the presentation of conflict in two war poems.; compare;
what makes iago such an effective villain?; reason;
how does priestley explore responsibility in an inspector calls?; discuss;
what role does memory play in the glass menagerie?; explain;
compare the ways different poets present death.; compare;
write about the significance of curley's wife in of mice and men.; other;
detail the ways steinbeck presents friendship in of mice and men.; describe;
what makes bottom an important character in a midsummer night's dream?; reason;
how does wilde use humor to critique society?; discuss;
compare the presentation of women in two victorian novels.; compare;
what role does fate play in romeo and juliet?; explain;
how does owen present the horror of war in his poetry?; describe;
compare the ways different authors present love in their poetry.; compare;
what makes the handmaid's tale a dystopian novel?; reason;
how does shakespeare explore power in the tempest?; discuss;
what role does the forest play in as you like it?; explain;
detail the ways poets present conflict in their work.; describe;
compare the presentation of marriage in pride and prejudice and jane eyre.; compare;
should we sympathize with tess in tess of the d'urbervilles?; argue;
what makes beatrice and benedick's relationship compelling?; reason;
how does orwell create tension in 1984?; discuss;
compare the ways different poets present childhood.; compare;
what role does deception play in much ado about nothing?; explain;
how does shelley present nature in her poetry?; describe;
compare the presentation of evil in macbeth and dr. jekyll and mr. hyde.; compare;
what makes cordelia's silence powerful in act 1 of king lear?; reason;
how does williams explore the american dream in a streetcar named desire?; discuss;
what role does the past play in great expectations?; explain;
detail the ways shakespeare presents love in twelfth night.; describe;
compare the presentation of parenthood in two texts.; compare;
write about the importance of the three witches in macbeth.; other;
what makes richard iii a compelling villain?; reason;
how does austen present marriage in pride and prejudice?; discuss;
compare the ways different poets present war.; compare;
what role does religion play in the canterbury tales?; explain;
how does hardy present rural life in his novels?; describe;
compare the presentation of justice in the merchant of venice and measure for measure.; compare;
what makes cleopatra a complex character?; reason;
how does shakespeare explore gender roles in the taming of the shrew?; discuss;
compare the use of supernatural elements in macbeth and a midsummer night's dream.; compare;
what function does the character of mercutio serve in romeo and juliet?; explain;
detail how ted hughes presents animals in his poetry.; describe;
why can jane eyre be considered ahead of its time?; reason;
should readers sympathize with heathcliff in wuthering heights?; argue;
write about the significance of the red room in jane eyre.; other;
how does fitzgerald critique the american dream in the great gatsby?; discuss;
compare the presentation of fathers in king lear and hamlet.; compare;
what role does the mockingbird symbolism play throughout to kill a mockingbird?; explain;
detail the ways steinbeck presents loneliness in of mice and men.; describe;
why might gatsby be considered a tragic hero?; reason;
is gertrude complicit in her husband's murder?; argue;
explore the importance of the three caskets in the merchant of venice.; other;
how does miller present the theme of reputation in the crucible?; discuss;
compare the treatment of time in two modernist novels.; compare;
what purpose does the character of fool serve in king lear?; explain;
detail how larkin presents death in his poetry.; describe;
why is caliban essential to the themes of the tempest?; reason;
should readers view angelo as a hypocrite or a victim of circumstances?; argue;
write about the significance of piggy's glasses in lord of the flies.; other;
how does tennessee williams present the idea of escape in the glass menagerie?; discuss;
compare the presentation of motherhood in two victorian novels.; compare;
what role does the lottery play in developing the story's themes?; explain;
detail the ways shakespeare presents revenge in hamlet.; describe;
why might the ending of the handmaid's tale be considered ambiguous?; reason;
is benedick's transformation in much ado about nothing convincing?; argue;
examine the significance of the conch shell in lord of the flies.; other;
how does orwell present the corruption of language in 1984?; discuss;
compare the use of imagery in two war poems.; compare;
what function does the character of banquo serve after his death?; explain;
detail how chaucer presents corruption in the canterbury tales.; describe;
why is the setting of wuthering heights crucial to the story?; reason;
should we consider shylock's demand for justice as reasonable?; argue;
write about the importance of the valley of ashes in the great gatsby.; other;
how does arthur miller explore the american dream in death of a salesman?; discuss;
